罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品,name,latitude,longitude,police_office_name,police_office_latitude,police_office_longitude
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺北４丁目,2022/6/27,18,４階建て以上共同住宅,駐車（輪）場,その他,杉並区高円寺北４丁目,35.7081546,139.6446258, 杉並警察署 高円寺駅前交番,35.7055907,139.6503542
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺北４丁目,2022/9/21,16,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール,杉並区高円寺北４丁目,35.7081546,139.6446258, 杉並警察署 高円寺駅前交番,35.7055907,139.6503542
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺南３丁目,2022/6/25,17,その他,駐車（輪）場,その他,杉並区高円寺南３丁目,35.7014789,139.6462284, 杉並警察署 高円寺駅前交番,35.7055907,139.6503542
窃盗,部品ねらい,高井戸,上高井戸交番,131156,東京都,杉並区,上高井戸２丁目,2022/9/17,12,駐車（輪）場,駐車（輪）場,ナンバープレート,杉並区上高井戸２丁目,35.6779538,139.6102533, 高井戸警察署 上高井戸交番,35.6720363,139.6139557
窃盗,部品ねらい,高井戸,上高井戸交番,131156,東京都,杉並区,上高井戸３丁目,2022/11/19,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,杉並区上高井戸３丁目,35.6750548,139.617345, 高井戸警察署 上高井戸交番,35.6720363,139.6139557
窃盗,部品ねらい,高井戸,久我山交番,131156,東京都,杉並区,久我山２丁目,2022/1/18,12,その他,駐車（輪）場,ナンバープレート,杉並区久我山２丁目,35.6838929,139.6030623, 高井戸警察署 久我山交番,35.687288,139.59928
窃盗,部品ねらい,高井戸,久我山交番,131156,東京都,杉並区,久我山３丁目,2022/8/4,7,駐車（輪）場,駐車（輪）場,その他,杉並区久我山３丁目,35.687664,139.5963004, 高井戸警察署 久我山交番,35.687288,139.59928
窃盗,部品ねらい,高井戸,大宮八幡駐在所,131156,東京都,杉並区,大宮１丁目,2022/11/27,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,杉並区大宮１丁目,35.6854898,139.6455967, 高井戸警察署 大宮八幡駐在所,35.682206,139.64311
窃盗,部品ねらい,高井戸,方南交番,131156,東京都,杉並区,和泉４丁目,2022/1/5,7,駐車（輪）場,駐車（輪）場,その他,杉並区和泉４丁目,35.6801347,139.6535119, 高井戸警察署 方南交番,35.681179,139.657276
窃盗,部品ねらい,高井戸,永福町駅前交番,131156,東京都,杉並区,和泉３丁目,2022/7/18,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,杉並区和泉３丁目,35.6783612,139.6470183, 高井戸警察署 永福町駅前交番,,
窃盗,部品ねらい,高井戸,泉南交番,131156,東京都,杉並区,方南１丁目,2022/9/9,1,駐車（輪）場,駐車（輪）場,ナンバープレート,杉並区方南１丁目,35.6763698,139.6618053, 高井戸警察署 泉南交番,35.6755147,139.6581937
窃盗,部品ねらい,高井戸,泉南交番,131156,東京都,杉並区,方南１丁目,2022/11/9,6,一戸建住宅,駐車（輪）場,ナンバープレート,杉並区方南１丁目,35.6763698,139.6618053, 高井戸警察署 泉南交番,35.6755147,139.6581937
窃盗,部品ねらい,高井戸,浜田山交番,131156,東京都,杉並区,高井戸東４丁目,2022/6/4,5,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,杉並区高井戸東４丁目,35.6893392,139.6196517, 高井戸警察署 浜田山交番,35.684956,139.626938
窃盗,部品ねらい,高井戸,浜田山交番,131156,東京都,杉並区,浜田山３丁目,2022/6/7,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,杉並区浜田山３丁目,35.6823461,139.6292259, 高井戸警察署 浜田山交番,35.684956,139.626938
窃盗,部品ねらい,高井戸,高井戸西交番,131156,東京都,杉並区,高井戸西１丁目,2022/2/8,12,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,杉並区高井戸西１丁目,35.6808602,139.6115917, 高井戸警察署 高井戸西交番,35.6816667,139.6148666
窃盗,部品ねらい,荻窪,下井草駅前交番,131156,東京都,杉並区,井草１丁目,2022/8/25,15,その他の住宅（３階建て以下共同住宅等）,その他,その他,杉並区井草１丁目,35.7270418,139.6242906, 荻窪警察署 下井草駅前交番,35.723784,139.624166
窃盗,部品ねらい,荻窪,下井草駅前交番,131156,東京都,杉並区,下井草３丁目,2022/12/14,18,駐車（輪）場,駐車（輪）場,その他,杉並区下井草３丁目,35.7204221,139.6241069, 荻窪警察署 下井草駅前交番,35.723784,139.624166
窃盗,部品ねらい,荻窪,下井草駅前交番,131156,東京都,杉並区,下井草３丁目,2022/12/22,19,４階建て以上共同住宅,その他,その他,杉並区下井草３丁目,35.7204221,139.6241069, 荻窪警察署 下井草駅前交番,35.723784,139.624166
窃盗,部品ねらい,荻窪,井荻駅前交番,131156,東京都,杉並区,井草４丁目,2022/7/10,22,駐車（輪）場,駐車（輪）場,ナンバープレート,杉並区井草４丁目,35.72729,139.6119001, 荻窪警察署 井荻駅前交番,35.7244974,139.6146682
窃盗,部品ねらい,荻窪,今川交番,131156,東京都,杉並区,今川１丁目,2022/10/20,21,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール,杉並区今川１丁目,35.7168595,139.6130401, 荻窪警察署 今川交番,35.7192018,139.6060311
窃盗,部品ねらい,荻窪,今川交番,131156,東京都,杉並区,今川３丁目,2022/10/21,18,一戸建住宅,駐車（輪）場,その他,杉並区今川３丁目,35.7167484,139.6048003, 荻窪警察署 今川交番,35.7192018,139.6060311
窃盗,部品ねらい,荻窪,今川交番,131156,東京都,杉並区,桃井１丁目,2022/7/13,20,駐車（輪）場,駐車（輪）場,ナンバープレート,杉並区桃井１丁目,35.7115685,139.6132453, 荻窪警察署 今川交番,35.7192018,139.6060311
窃盗,部品ねらい,荻窪,桃井四丁目交番,131156,東京都,杉並区,善福寺１丁目,2022/11/25,8,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,杉並区善福寺１丁目,35.7130832,139.5974699, 荻窪警察署 桃井四丁目交番,35.7122985,139.6020571
窃盗,部品ねらい,荻窪,荻窪五丁目交番,131156,東京都,杉並区,荻窪５丁目,2022/10/23,6,駐車（輪）場,駐車（輪）場,その他,杉並区荻窪５丁目,35.7021846,139.6192762, 荻窪警察署 荻窪五丁目交番,,
窃盗,部品ねらい,荻窪,荻窪駅南口交番,131156,東京都,杉並区,荻窪４丁目,2022/6/7,8,駐車（輪）場,駐車（輪）場,その他,杉並区荻窪４丁目,35.7015769,139.6224681, 荻窪警察署 荻窪駅南口交番,35.704312,139.6208562
窃盗,部品ねらい,荻窪,西荻窪交番,131156,東京都,杉並区,西荻北１丁目,2022/7/10,16,駐車（輪）場,駐車（輪）場,ナンバープレート,杉並区西荻北１丁目,35.7062206,139.6070695, 荻窪警察署 西荻窪交番,35.7040654,139.5997564
窃盗,部品ねらい,富坂,小石川御殿町交番,131059,東京都,文京区,大塚３丁目,2022/12/1,3,駐車（輪）場,駐車（輪）場,その他,文京区大塚３丁目,35.7207662,139.7366014, 富坂警察署 小石川御殿町交番,,
窃盗,部品ねらい,富坂,春日交番,131059,東京都,文京区,小石川１丁目,2022/4/13,17,４階建て以上共同住宅,駐車（輪）場,その他,文京区小石川１丁目,35.7119279,139.7524975, 富坂警察署 春日交番,35.7082168,139.7533473
窃盗,部品ねらい,富坂,春日交番,131059,東京都,文京区,小石川３丁目,2022/11/23,17,４階建て以上共同住宅,駐車（輪）場,その他,文京区小石川３丁目,35.7132248,139.7484098, 富坂警察署 春日交番,35.7082168,139.7533473
窃盗,部品ねらい,富坂,白山交番,131059,東京都,文京区,白山５丁目,2022/4/8,18,その他,駐車（輪）場,その他,文京区白山５丁目,35.7234816,139.7502592, 富坂警察署 白山交番,35.7194327,139.7514219
窃盗,部品ねらい,大塚,江戸川橋交番,131059,東京都,文京区,関口１丁目,2022/12/16,11,その他,その他,ナンバープレート,文京区関口１丁目,35.7096857,139.7304833, 大塚警察署 江戸川橋交番,,
窃盗,部品ねらい,大塚,茗荷谷駅前交番,131059,東京都,文京区,小日向２丁目,2022/10/3,15,４階建て以上共同住宅,駐車（輪）場,その他,文京区小日向２丁目,35.7125627,139.7340533, 大塚警察署 茗荷谷駅前交番,35.71806855,139.73664902716214
窃盗,部品ねらい,大塚,護国寺前交番,131059,東京都,文京区,大塚４丁目,2022/2/17,19,一戸建住宅,駐車（輪）場,その他,文京区大塚４丁目,35.7238398,139.7342505, 大塚警察署 護国寺前交番,35.720209749999995,139.7270097
窃盗,部品ねらい,大塚,護国寺前交番,131059,東京都,文京区,大塚６丁目,2022/8/9,17,４階建て以上共同住宅,駐車（輪）場,その他,文京区大塚６丁目,35.724983,139.7259235, 大塚警察署 護国寺前交番,35.720209749999995,139.7270097
窃盗,部品ねらい,本富士,壱岐坂交番,131059,東京都,文京区,本郷１丁目,2022/4/27,19,一戸建住宅,駐車（輪）場,ナンバープレート,文京区本郷１丁目,35.7050564,139.756785, 本富士警察署 壱岐坂交番,35.7046397,139.756468
窃盗,部品ねらい,本富士,弥生町交番,131059,東京都,文京区,向丘１丁目,2017/11/1,0,駐車（輪）場,駐車（輪）場,ナンバープレート,文京区向丘１丁目,35.7195837,139.7558248, 本富士警察署 弥生町交番,35.715539,139.758988
窃盗,部品ねらい,本富士,本郷交番,131059,東京都,文京区,本郷３丁目,2022/4/29,8,その他,駐車（輪）場,その他,文京区本郷３丁目,35.7044204,139.7632894, 本富士警察署 本郷交番,35.7076352,139.76041159958532
窃盗,部品ねらい,駒込,団子坂交番,131059,東京都,文京区,千駄木２丁目,2022/4/23,18,道路上,その他,その他,文京区千駄木２丁目,35.7229274,139.7624499, 駒込警察署 団子坂交番,35.7271271,139.7635955
窃盗,部品ねらい,駒込,団子坂交番,131059,東京都,文京区,千駄木２丁目,2022/9/15,7,道路上,その他,その他,文京区千駄木２丁目,35.7229274,139.7624499, 駒込警察署 団子坂交番,35.7271271,139.7635955
窃盗,部品ねらい,駒込,団子坂交番,131059,東京都,文京区,千駄木５丁目,2022/10/14,13,一戸建住宅,駐車（輪）場,その他,文京区千駄木５丁目,35.7274996,139.758857, 駒込警察署 団子坂交番,35.7271271,139.7635955
窃盗,部品ねらい,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2022/6/22,9,その他,駐車（輪）場,その他,文京区向丘２丁目,35.7215948,139.7572759, 駒込警察署 浅嘉交番,35.7243358,139.7536409
窃盗,部品ねらい,巣鴨,サンシャイン前交番,131164,東京都,豊島区,東池袋２丁目,2022/7/13,18,４階建て以上共同住宅,その他,その他,豊島区東池袋２丁目,35.7318405,139.7231974, 巣鴨警察署 サンシャイン前交番,35.7301679,139.7190727
窃盗,部品ねらい,巣鴨,サンシャイン前交番,131164,東京都,豊島区,東池袋２丁目,2022/11/10,12,その他,駐車（輪）場,その他,豊島区東池袋２丁目,35.7318405,139.7231974, 巣鴨警察署 サンシャイン前交番,35.7301679,139.7190727
窃盗,部品ねらい,巣鴨,サンシャイン前交番,131164,東京都,豊島区,東池袋３丁目,2022/3/30,8,４階建て以上共同住宅,その他,その他,豊島区東池袋３丁目,35.7305365,139.7195587, 巣鴨警察署 サンシャイン前交番,35.7301679,139.7190727
窃盗,部品ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2022/9/26,23,４階建て以上共同住宅,その他,その他,豊島区北大塚２丁目,35.7335129,139.7283429, 巣鴨警察署 大塚駅前交番,35.7312559,139.7292769
窃盗,部品ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,南大塚１丁目,2022/10/24,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区南大塚１丁目,35.7284141,139.7351242, 巣鴨警察署 大塚駅前交番,35.7312559,139.7292769
窃盗,部品ねらい,巣鴨,庚申塚交番,131164,東京都,豊島区,巣鴨５丁目,2022/7/23,6,駐車（輪）場,駐車（輪）場,ナンバープレート,豊島区巣鴨５丁目,35.7398594,139.7347695, 巣鴨警察署 庚申塚交番,,
窃盗,部品ねらい,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨３丁目,2022/2/23,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート,豊島区西巣鴨３丁目,35.7419668,139.7289705, 巣鴨警察署 庚申塚交番,,
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋２丁目,2022/10/20,14,駐車（輪）場,駐車（輪）場,その他,豊島区池袋２丁目,35.7340006,139.7088419, 池袋警察署 川越通交番,35.7390943,139.7106876
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋２丁目,2022/12/14,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区池袋２丁目,35.7340006,139.7088419, 池袋警察署 川越通交番,35.7390943,139.7106876
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋４丁目,2022/10/6,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区池袋４丁目,35.738405,139.7093468, 池袋警察署 川越通交番,35.7390943,139.7106876
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋本町２丁目,2022/4/20,15,その他,その他,その他,豊島区池袋本町２丁目,35.7416576,139.710592, 池袋警察署 川越通交番,35.7390943,139.7106876
窃盗,部品ねらい,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2022/5/18,19,駐車（輪）場,駐車（輪）場,ナンバープレート,豊島区西池袋１丁目,35.7301653,139.709385, 池袋警察署 池袋駅西口交番,,
窃盗,部品ねらい,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋３丁目,2022/11/16,7,駐車（輪）場,駐車（輪）場,その他,豊島区西池袋３丁目,35.7291561,139.7044431, 池袋警察署 池袋駅西口交番,,
窃盗,部品ねらい,目白,千川交番,131164,東京都,豊島区,要町２丁目,2022/11/29,14,一戸建住宅,その他,その他,豊島区要町２丁目,35.7350674,139.6939208, 目白警察署 千川交番,35.736918,139.6909845
窃盗,部品ねらい,目白,千川交番,131164,東京都,豊島区,千早２丁目,2022/12/7,19,道路上,その他,その他,豊島区千早２丁目,35.7335847,139.6910132, 目白警察署 千川交番,35.736918,139.6909845
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田１丁目,2022/9/26,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区高田１丁目,35.7151706,139.7164339, 目白警察署 千登世橋交番,35.7187458,139.7141937
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田２丁目,2022/9/26,9,その他の住宅（３階建て以下共同住宅等）,その他,その他,豊島区高田２丁目,35.7160319,139.7140038, 目白警察署 千登世橋交番,35.7187458,139.7141937
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田２丁目,2022/10/6,18,４階建て以上共同住宅,駐車（輪）場,その他,豊島区高田２丁目,35.7160319,139.7140038, 目白警察署 千登世橋交番,35.7187458,139.7141937
窃盗,部品ねらい,目白,南池袋交番,131164,東京都,豊島区,南池袋３丁目,2022/8/28,3,４階建て以上共同住宅,駐車（輪）場,その他,豊島区南池袋３丁目,35.72431495,139.71428192058823, 目白警察署 南池袋交番,35.7264157,139.711838
窃盗,部品ねらい,目白,南長崎交番,131164,東京都,豊島区,南長崎３丁目,2022/11/16,9,一戸建住宅,その他,その他,豊島区南長崎３丁目,35.725142,139.6878161, 目白警察署 南長崎交番,35.7229312,139.689339
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎４丁目,2022/8/20,19,その他,駐車（輪）場,その他,豊島区南長崎４丁目,35.7256711,139.6849501, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎４丁目,2022/10/3,19,一戸建住宅,その他,その他,豊島区南長崎４丁目,35.7256711,139.6849501, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎４丁目,2022/12/14,16,一戸建住宅,その他,その他,豊島区南長崎４丁目,35.7256711,139.6849501, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎６丁目,2022/9/3,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区南長崎６丁目,35.7304592,139.6803863, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,千早３丁目,2022/10/11,10,一戸建住宅,その他,その他,豊島区千早３丁目,35.7346396,139.6869671, 目白警察署 東長崎駅前交番,35.7299532,139.6829118
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2022/3/17,21,その他,駐車（輪）場,その他,豊島区長崎２丁目,35.7290124,139.6920338, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2022/10/21,17,一戸建住宅,駐車（輪）場,その他,豊島区長崎２丁目,35.7290124,139.6920338, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2022/11/5,19,一戸建住宅,その他,その他,豊島区長崎２丁目,35.7290124,139.6920338, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2022/11/26,17,一戸建住宅,駐車（輪）場,その他,豊島区長崎２丁目,35.7290124,139.6920338, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎３丁目,2022/5/28,18,道路上,その他,その他,豊島区長崎３丁目,35.7297004,139.6887977, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎３丁目,2022/9/27,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,豊島区長崎３丁目,35.7297004,139.6887977, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎３丁目,2022/10/3,5,道路上,その他,その他,豊島区長崎３丁目,35.7297004,139.6887977, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎３丁目,2022/11/5,17,一戸建住宅,その他,その他,豊島区長崎３丁目,35.7297004,139.6887977, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,目白５丁目,2022/7/30,18,一戸建住宅,駐車（輪）場,その他,豊島区目白５丁目,35.7239585,139.6961188, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,千早２丁目,2022/11/16,18,４階建て以上共同住宅,その他,その他,豊島区千早２丁目,35.7335847,139.6910132, 目白警察署 椎名町駅前交番,35.7264979,139.6951156
窃盗,部品ねらい,目白,要町交番,131164,東京都,豊島区,要町１丁目,2022/9/8,22,駐車（輪）場,駐車（輪）場,ナンバープレート,豊島区要町１丁目,35.7348247,139.6964917, 目白警察署 要町交番,35.7328416,139.6995168
窃盗,部品ねらい,目白,雑司が谷交番,131164,東京都,豊島区,東池袋５丁目,2022/12/21,13,駐車（輪）場,駐車（輪）場,ナンバープレート,豊島区東池袋５丁目,35.7260358,139.7235605, 目白警察署 雑司が谷交番,35.7242123,139.7183299
窃盗,部品ねらい,滝野川,尾久駅前交番,131172,東京都,北区,昭和町３丁目,2022/10/17,20,道路上,その他,ナンバープレート,北区昭和町３丁目,35.7490377,139.7505107, 滝野川警察署 尾久駅前交番,35.7468369,139.7549562
窃盗,部品ねらい,滝野川,東田端交番,131172,東京都,北区,田端新町３丁目,2022/10/22,15,４階建て以上共同住宅,駐車（輪）場,その他,北区田端新町３丁目,35.7423713,139.763284, 滝野川警察署 東田端交番,35.7390463,139.7621704
窃盗,部品ねらい,滝野川,滝野川一丁目交番,131172,東京都,北区,滝野川１丁目,2022/11/6,20,一戸建住宅,その他,その他,北区滝野川１丁目,35.7477862,139.7355408, 滝野川警察署 滝野川一丁目交番,35.7454285,139.7327616
窃盗,部品ねらい,滝野川,滝野川一丁目交番,131172,東京都,北区,滝野川３丁目,2022/4/8,17,一戸建住宅,その他,その他,北区滝野川３丁目,35.748593,139.728979, 滝野川警察署 滝野川一丁目交番,35.7454285,139.7327616
窃盗,部品ねらい,滝野川,田端高台交番,131172,東京都,北区,田端３丁目,2022/12/20,7,４階建て以上共同住宅,駐車（輪）場,その他,北区田端３丁目,35.7358119,139.7554503, 滝野川警察署 田端高台交番,35.7383538,139.7584896
窃盗,部品ねらい,滝野川,飛鳥山交番,131172,東京都,北区,滝野川２丁目,2021/10/6,16,４階建て以上共同住宅,駐車（輪）場,その他,北区滝野川２丁目,35.749859,139.733372, 滝野川警察署 飛鳥山交番,35.7507684,139.737719
窃盗,部品ねらい,王子,十条仲原交番,131172,東京都,北区,上十条５丁目,2022/5/12,0,一戸建住宅,その他,タイヤ・ホイール,北区上十条５丁目,35.7658266,139.7166145, 王子警察署 十条仲原交番,35.765446,139.719275
窃盗,部品ねらい,王子,十条仲原交番,131172,東京都,北区,十条仲原３丁目,2022/12/4,9,一戸建住宅,駐車（輪）場,その他,北区十条仲原３丁目,35.7663676,139.7201538, 王子警察署 十条仲原交番,35.765446,139.719275
窃盗,部品ねらい,王子,東十条交番,131172,東京都,北区,王子６丁目,2022/1/28,19,一戸建住宅,その他,その他,北区王子６丁目,35.761502,139.740464, 王子警察署 東十条交番,35.7660048,139.7286049
窃盗,部品ねらい,王子,東十条交番,131172,東京都,北区,東十条３丁目,2022/3/25,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他,北区東十条３丁目,35.764987,139.7287308, 王子警察署 東十条交番,35.7660048,139.7286049
窃盗,部品ねらい,王子,王子五丁目交番,131172,東京都,北区,王子５丁目,2022/1/15,13,４階建て以上共同住宅,駐車（輪）場,タイヤ・ホイール,北区王子５丁目,35.764854,139.735301, 王子警察署 王子五丁目交番,35.766171,139.735238
窃盗,部品ねらい,王子,王子五丁目交番,131172,東京都,北区,王子５丁目,2022/10/10,15,４階建て以上共同住宅,駐車（輪）場,その他,北区王子５丁目,35.764854,139.735301, 王子警察署 王子五丁目交番,35.766171,139.735238
窃盗,部品ねらい,王子,王子五丁目交番,131172,東京都,北区,王子５丁目,2022/11/16,14,４階建て以上共同住宅,駐車（輪）場,その他,北区王子５丁目,35.764854,139.735301, 王子警察署 王子五丁目交番,35.766171,139.735238
窃盗,部品ねらい,王子,王子本町交番,131172,東京都,北区,王子本町１丁目,2022/10/25,7,その他,駐車（輪）場,その他,北区王子本町１丁目,35.7538025,139.7338597, 王子警察署 王子本町交番,35.7538011,139.7337082
窃盗,部品ねらい,王子,王子本町交番,131172,東京都,北区,十条台１丁目,2022/6/23,15,その他,駐車（輪）場,ナンバープレート,北区十条台１丁目,35.7549679,139.7255633, 王子警察署 王子本町交番,35.7538011,139.7337082
窃盗,部品ねらい,王子,豊島五丁目駐在所,131172,東京都,北区,豊島５丁目,2022/5/27,17,４階建て以上共同住宅,駐車（輪）場,その他,北区豊島５丁目,35.7663583,139.754694, 王子警察署 豊島五丁目駐在所,35.764379,139.749669
窃盗,部品ねらい,王子,豊島五丁目駐在所,131172,東京都,北区,豊島５丁目,2022/9/5,16,４階建て以上共同住宅,駐車（輪）場,その他,北区豊島５丁目,35.7663583,139.754694, 王子警察署 豊島五丁目駐在所,35.764379,139.749669
窃盗,部品ねらい,王子,豊島五丁目駐在所,131172,東京都,北区,豊島６丁目,2022/2/27,18,駐車（輪）場,駐車（輪）場,その他,北区豊島６丁目,35.7651628,139.7464983, 王子警察署 豊島五丁目駐在所,35.764379,139.749669
窃盗,部品ねらい,赤羽,宮堀交番,131172,東京都,北区,神谷１丁目,2022/5/11,0,その他,駐車（輪）場,その他,北区神谷１丁目,35.7685793,139.7341073, 赤羽警察署 宮堀交番,35.7698269,139.7344397
窃盗,部品ねらい,赤羽,宮堀交番,131172,東京都,北区,神谷３丁目,2022/2/11,16,４階建て以上共同住宅,その他,ナンバープレート,北区神谷３丁目,35.7720736,139.7328563, 赤羽警察署 宮堀交番,35.7698269,139.7344397
窃盗,部品ねらい,赤羽,志茂四丁目交番,131172,東京都,北区,志茂４丁目,2022/2/10,9,４階建て以上共同住宅,駐車（輪）場,その他,北区志茂４丁目,35.78286,139.734812, 赤羽警察署 志茂四丁目交番,35.7804928,139.7304924
窃盗,部品ねらい,赤羽,志茂四丁目交番,131172,東京都,北区,志茂４丁目,2022/2/16,21,その他の住宅（３階建て以下共同住宅等）,その他,その他,北区志茂４丁目,35.78286,139.734812, 赤羽警察署 志茂四丁目交番,35.7804928,139.7304924
窃盗,部品ねらい,赤羽,志茂四丁目交番,131172,東京都,北区,志茂４丁目,2022/10/24,22,４階建て以上共同住宅,駐車（輪）場,その他,北区志茂４丁目,35.78286,139.734812, 赤羽警察署 志茂四丁目交番,35.7804928,139.7304924
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,赤羽台２丁目,2022/8/11,11,４階建て以上共同住宅,駐車（輪）場,その他,北区赤羽台２丁目,35.776291,139.713525, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,赤羽西５丁目,2022/6/24,21,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区赤羽西５丁目,35.773379,139.710546, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,赤羽西５丁目,2022/7/13,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区赤羽西５丁目,35.773379,139.710546, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2022/4/20,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区桐ケ丘１丁目,35.7772158,139.7075109, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2022/5/3,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区桐ケ丘１丁目,35.7772158,139.7075109, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2022/5/26,20,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区桐ケ丘１丁目,35.7772158,139.7075109, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2022/7/9,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート,北区桐ケ丘１丁目,35.7772158,139.7075109, 赤羽警察署 法善寺交番,35.778695,139.7133961
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2022/11/29,10,４階建て以上共同住宅,駐車（輪）場,その他,北区桐ケ丘１丁目,35.7772158,139.7075109, 赤羽警察署 法善寺交番,35.778695,139.7133961
