罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金以外の主な被害品
窃盗,部品ねらい,中野,鍋屋横丁交番,131148,東京都,中野区,本町３丁目,2020-02-05,13,その他,駐車（輪）場,その他
窃盗,部品ねらい,中野,鍋屋横丁交番,131148,東京都,中野区,本町３丁目,2020-02-15,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,中野,鍋屋横丁交番,131148,東京都,中野区,本町３丁目,2020-06-03,17,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,中野,鍋屋横丁交番,131148,東京都,中野区,本町４丁目,2020-03-07,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,中野,南台交番,131148,東京都,中野区,南台２丁目,2020-05-15,17,一戸建住宅,その他,その他
窃盗,部品ねらい,中野,中央五丁目交番,131148,東京都,中野区,本町６丁目,2020-05-05,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,野方,上高田交番,131148,東京都,中野区,上高田４丁目,2020-03-22,20,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,野方,江原町交番,131148,東京都,中野区,江原町３丁目,2020-08-06,12,道路上,その他,その他
窃盗,部品ねらい,野方,江古田四丁目交番,131148,東京都,中野区,江古田３丁目,2020-09-17,10,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,野方,沼袋交番,131148,東京都,中野区,沼袋３丁目,2020-02-25,09,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,野方,野方駅前交番,131148,東京都,中野区,野方６丁目,2020-08-27,18,一戸建住宅,その他,その他
窃盗,部品ねらい,野方,野方駅前交番,131148,東京都,中野区,丸山２丁目,2020-07-19,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,野方,家政通交番,131148,東京都,中野区,鷺宮１丁目,2020-05-03,08,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,野方,鷺宮駅前交番,131148,東京都,中野区,白鷺３丁目,2020-08-20,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,杉並,東田町交番,131156,東京都,杉並区,成田東４丁目,2020-05-04,14,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,杉並,東田町交番,131156,東京都,杉並区,成田東４丁目,2020-05-15,02,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,杉並,東田町交番,131156,東京都,杉並区,成田東４丁目,2020-05-19,17,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,杉並,新高円寺駅前交番,131156,東京都,杉並区,梅里２丁目,2020-10-03,22,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,杉並,堀ノ内交番,131156,東京都,杉並区,堀ノ内２丁目,2020-08-23,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,杉並,和田本町交番,131156,東京都,杉並区,和田１丁目,2020-01-16,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,杉並,和田本町交番,131156,東京都,杉並区,和田１丁目,2020-03-21,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,杉並,和田本町交番,131156,東京都,杉並区,和田１丁目,2020-06-10,17,一戸建住宅,その他,その他
窃盗,部品ねらい,杉並,高円寺交番,131156,東京都,杉並区,高円寺南１丁目,2020-08-28,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,杉並,高円寺交番,131156,東京都,杉並区,和田３丁目,2020-03-21,14,一戸建住宅,その他,その他
窃盗,部品ねらい,杉並,高円寺交番,131156,東京都,杉並区,和田３丁目,2020-05-04,18,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,杉並,高円寺南四丁目交番,131156,東京都,杉並区,高円寺北１丁目,2020-03-30,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,杉並,高円寺南四丁目交番,131156,東京都,杉並区,高円寺南２丁目,2020-07-14,17,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺北２丁目,2020-11-02,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺南２丁目,2020-08-13,18,道路上,その他,その他
窃盗,部品ねらい,杉並,高円寺駅前交番,131156,東京都,杉並区,高円寺南４丁目,2020-11-19,13,道路上,その他,ナンバープレート
窃盗,部品ねらい,杉並,阿佐谷北交番,131156,東京都,杉並区,阿佐谷北５丁目,2020-05-01,17,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷北１丁目,2020-04-01,16,道路上,その他,タイヤ・ホイール
窃盗,部品ねらい,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷北１丁目,2020-05-05,10,道路上,その他,その他
窃盗,部品ねらい,杉並,阿佐谷駅前交番,131156,東京都,杉並区,阿佐谷南１丁目,2020-07-15,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,泉南交番,131156,東京都,杉並区,和泉１丁目,2020-04-19,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,泉南交番,131156,東京都,杉並区,和泉４丁目,2020-05-24,17,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,高井戸,泉南交番,131156,東京都,杉並区,方南１丁目,2020-10-20,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,西永福駅前交番,131156,東京都,杉並区,浜田山３丁目,2020-08-01,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,西荻南交番,131156,東京都,杉並区,松庵２丁目,2020-02-14,19,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,高井戸,下高井戸交番,131156,東京都,杉並区,永福１丁目,2020-01-25,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,下高井戸交番,131156,東京都,杉並区,永福１丁目,2020-12-12,17,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,宮前駐在所,131156,東京都,杉並区,宮前４丁目,2020-03-19,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,高井戸,浜田山交番,131156,東京都,杉並区,高井戸東４丁目,2020-02-21,20,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,高井戸,浜田山交番,131156,東京都,杉並区,浜田山３丁目,2020-05-30,15,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,荻窪,桃井四丁目交番,131156,東京都,杉並区,上荻４丁目,2020-05-29,21,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,荻窪,善福寺交番,131156,東京都,杉並区,今川４丁目,2020-03-24,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,荻窪,善福寺交番,131156,東京都,杉並区,善福寺３丁目,2020-01-29,15,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,荻窪,荻窪駅南口交番,131156,東京都,杉並区,荻窪４丁目,2020-01-20,18,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,荻窪,荻窪駅南口交番,131156,東京都,杉並区,荻窪４丁目,2020-06-26,21,道路上,その他,ナンバープレート
窃盗,部品ねらい,荻窪,荻窪駅北口交番,131156,東京都,杉並区,天沼３丁目,2020-08-11,08,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,荻窪,天沼交番,131156,東京都,杉並区,清水３丁目,2020-01-19,12,一戸建住宅,その他,ナンバープレート
窃盗,部品ねらい,荻窪,天沼交番,131156,東京都,杉並区,清水３丁目,2020-03-25,22,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,荻窪,天沼交番,131156,東京都,杉並区,本天沼２丁目,2020-06-27,14,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,富坂,春日交番,131059,東京都,文京区,春日１丁目,2020-08-20,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,富坂,千石一丁目交番,131059,東京都,文京区,千石１丁目,2020-02-14,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,富坂,小石川御殿町交番,131059,東京都,文京区,千石１丁目,2020-08-23,11,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,大塚,護国寺前交番,131059,東京都,文京区,音羽２丁目,2020-10-02,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,本富士,天神町交番,131059,東京都,文京区,湯島２丁目,2020-09-14,12,道路上,その他,その他
窃盗,部品ねらい,本富士,弥生町交番,131059,東京都,文京区,向丘１丁目,2015-09-28,19,道路上,その他,ナンバープレート
窃盗,部品ねらい,駒込,上富士前交番,131059,東京都,文京区,本駒込２丁目,2020-08-20,05,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,駒込,上富士前交番,131059,東京都,文京区,本駒込２丁目,2020-12-28,08,その他,駐車（輪）場,その他
窃盗,部品ねらい,駒込,上富士前交番,131059,東京都,文京区,本駒込５丁目,2020-12-18,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,駒込,浅嘉交番,131059,東京都,文京区,向丘２丁目,2020-10-16,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,駒込５丁目,2020-11-25,16,その他,駐車（輪）場,その他
窃盗,部品ねらい,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨１丁目,2020-12-10,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,巣鴨,駒込駅前交番,131164,東京都,豊島区,駒込１丁目,2020-02-29,14,道路上,その他,その他
窃盗,部品ねらい,巣鴨,庚申塚交番,131164,東京都,豊島区,西巣鴨３丁目,2020-08-15,13,道路上,その他,ナンバープレート
窃盗,部品ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2020-07-24,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,池袋,六つ又交番,131164,東京都,豊島区,東池袋１丁目,2020-06-08,09,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,池袋,池袋二又交番,131164,東京都,豊島区,池袋２丁目,2020-12-09,21,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2020-03-03,21,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,池袋,池袋駅西口交番,131164,東京都,豊島区,南池袋１丁目,2020-01-15,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,池袋,上池袋交番,131164,東京都,豊島区,上池袋３丁目,2020-10-05,18,道路上,その他,その他
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋４丁目,2020-06-11,06,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋本町２丁目,2020-05-02,22,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,池袋,川越通交番,131164,東京都,豊島区,池袋本町２丁目,2020-10-07,04,その他,その他,その他
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎１丁目,2020-07-29,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎１丁目,2020-09-23,19,一戸建住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2020-08-21,01,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,目白,椎名町駅前交番,131164,東京都,豊島区,長崎２丁目,2020-11-30,23,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,長崎３丁目,2020-06-22,08,その他,その他,なし
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎５丁目,2020-08-07,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,目白,東長崎駅前交番,131164,東京都,豊島区,南長崎５丁目,2020-11-21,00,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,目白,要町交番,131164,東京都,豊島区,池袋３丁目,2020-12-10,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,目白,要町交番,131164,東京都,豊島区,池袋３丁目,2020-12-19,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,目白,要町交番,131164,東京都,豊島区,要町３丁目,2020-11-15,14,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,目白,千川交番,131164,東京都,豊島区,千川１丁目,2020-10-20,17,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田１丁目,2020-02-02,22,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田２丁目,2020-02-13,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田２丁目,2020-02-20,23,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,滝野川,,,,,,2019-09-15,不明,その他,その他,ナンバープレート
窃盗,部品ねらい,滝野川,板橋駅東口交番,131172,東京都,北区,滝野川７丁目,2020-11-18,10,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,滝野川,滝野川一丁目交番,131172,東京都,北区,滝野川３丁目,2020-01-20,10,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,滝野川,田端高台交番,131172,東京都,北区,田端２丁目,2020-01-19,18,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,滝野川,尾久駅前交番,131172,東京都,北区,栄町,2020-05-16,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,滝野川,東田端交番,131172,東京都,北区,田端新町１丁目,2020-03-21,10,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,滝野川,東田端交番,131172,東京都,北区,田端新町１丁目,2020-11-17,15,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,滝野川,東田端交番,131172,東京都,北区,中里３丁目,2020-09-18,13,道路上,その他,ナンバープレート
窃盗,部品ねらい,王子,王子駅前交番,131172,東京都,北区,岸町１丁目,2020-04-01,15,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,王子,王子駅前交番,131172,東京都,北区,堀船３丁目,2020-06-02,16,一戸建住宅,その他,その他
窃盗,部品ねらい,王子,王子駅前交番,131172,東京都,北区,堀船３丁目,2020-08-10,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,王子,豊島五丁目駐在所,131172,東京都,北区,豊島５丁目,2020-03-07,09,４階建て以上共同住宅,その他,ナンバープレート
窃盗,部品ねらい,王子,豊島五丁目駐在所,131172,東京都,北区,豊島５丁目,2020-08-19,23,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,王子,王子五丁目交番,131172,東京都,北区,豊島３丁目,2020-07-22,05,道路上,その他,その他
窃盗,部品ねらい,王子,王子五丁目交番,131172,東京都,北区,豊島７丁目,2020-04-11,17,駐車（輪）場,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,王子,東十条交番,131172,東京都,北区,王子５丁目,2020-04-15,16,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,王子,東十条交番,131172,東京都,北区,王子５丁目,2020-05-30,21,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,王子,東十条交番,131172,東京都,北区,王子５丁目,2020-08-12,12,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,志茂四丁目交番,131172,東京都,北区,志茂３丁目,2019-12-01,不明,道路上,その他,ナンバープレート
窃盗,部品ねらい,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽１丁目,2020-04-28,19,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽１丁目,2020-09-14,08,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽１丁目,2020-12-03,06,その他,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,赤羽駅前交番,131172,東京都,北区,赤羽南２丁目,2020-07-15,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,赤羽駅前交番,131172,東京都,北区,志茂３丁目,2020-02-28,20,道路上,その他,その他
窃盗,部品ねらい,赤羽,法善寺交番,131172,東京都,北区,桐ケ丘１丁目,2020-06-21,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,赤羽北交番,131172,東京都,北区,赤羽北２丁目,2020-05-22,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,赤羽北交番,131172,東京都,北区,赤羽北２丁目,2020-09-16,15,その他,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,浮間交番,131172,東京都,北区,浮間２丁目,2020-03-11,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,浮間交番,131172,東京都,北区,浮間４丁目,2020-03-11,00,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,赤羽,浮間交番,131172,東京都,北区,浮間４丁目,2020-05-13,04,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,赤羽,浮間交番,131172,東京都,北区,浮間５丁目,2020-02-11,12,その他,駐車（輪）場,その他
窃盗,部品ねらい,板橋,平尾交番,131199,東京都,板橋区,板橋２丁目,2019-11-17,11,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,板橋,平尾交番,131199,東京都,板橋区,板橋２丁目,2020-12-01,21,その他の住宅（３階建て以下共同住宅等）,その他,その他
窃盗,部品ねらい,板橋,平尾交番,131199,東京都,板橋区,板橋３丁目,2020-07-15,23,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,板橋,平尾交番,131199,東京都,板橋区,板橋４丁目,2020-05-08,11,道路上,その他,その他
窃盗,部品ねらい,板橋,板橋本町交番,131199,東京都,板橋区,仲宿,2020-04-15,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,板橋,板橋本町交番,131199,東京都,板橋区,大和町,2020-10-01,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,板橋,板橋本町交番,131199,東京都,板橋区,大和町,2020-11-29,17,一戸建住宅,その他,その他
窃盗,部品ねらい,板橋,養育院前交番,131199,東京都,板橋区,板橋２丁目,2020-08-18,18,その他,駐車（輪）場,その他
窃盗,部品ねらい,板橋,養育院前交番,131199,東京都,板橋区,氷川町,2019-04-01,19,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,板橋,大山町交番,131199,東京都,板橋区,大山西町,2020-08-15,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,板橋,大山町交番,131199,東京都,板橋区,大山町,2020-03-24,16,その他,駐車（輪）場,その他
窃盗,部品ねらい,板橋,大山町交番,131199,東京都,板橋区,幸町,2020-07-15,19,一戸建住宅,その他,その他
窃盗,部品ねらい,板橋,茂呂交番,131199,東京都,板橋区,向原２丁目,2020-12-15,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,板橋,中板橋交番,131199,東京都,板橋区,双葉町,2020-04-17,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,板橋,桜川三丁目駐在所,131199,東京都,板橋区,桜川３丁目,2020-08-06,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,志村,,,,,,2020-12-11,20,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,志村,清水町交番,131199,東京都,板橋区,大原町,2020-05-01,22,道路上,その他,ナンバープレート
窃盗,部品ねらい,志村,清水町交番,131199,東京都,板橋区,清水町,2020-02-05,15,一戸建住宅,その他,その他
窃盗,部品ねらい,志村,清水町交番,131199,東京都,板橋区,清水町,2020-02-13,00,その他の住宅（３階建て以下共同住宅等）,その他,ナンバープレート
窃盗,部品ねらい,志村,坂上交番,131199,東京都,板橋区,志村１丁目,2020-03-17,08,その他,その他,その他
窃盗,部品ねらい,志村,坂下交番,131199,東京都,板橋区,坂下２丁目,2020-07-30,16,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,志村,坂下交番,131199,東京都,板橋区,坂下３丁目,2020-04-18,11,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,志村,坂下交番,131199,東京都,板橋区,舟渡３丁目,2019-05-01,不明,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,志村,蓮根交番,131199,東京都,板橋区,蓮根１丁目,2020-07-08,21,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,志村,蓮根交番,131199,東京都,板橋区,蓮根２丁目,2020-11-20,16,４階建て以上共同住宅,その他,その他
窃盗,部品ねらい,志村,前野町交番,131199,東京都,板橋区,前野町２丁目,2020-11-13,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,志村,前野町交番,131199,東京都,板橋区,前野町３丁目,2020-05-01,不明,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,志村,前野町交番,131199,東京都,板橋区,前野町４丁目,2020-03-02,01,道路上,その他,その他
窃盗,部品ねらい,志村,前野町交番,131199,東京都,板橋区,前野町５丁目,2020-08-15,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,志村,前野町交番,131199,東京都,板橋区,前野町６丁目,2020-08-20,21,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,志村,中台交番,131199,東京都,板橋区,若木１丁目,2020-12-03,17,一戸建住宅,その他,その他
窃盗,部品ねらい,志村,西台交番,131199,東京都,板橋区,西台３丁目,2020-05-31,18,一戸建住宅,駐車（輪）場,その他
窃盗,部品ねらい,志村,西台交番,131199,東京都,板橋区,西台３丁目,2020-10-08,21,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,志村,中台三丁目交番,131199,東京都,板橋区,中台３丁目,2020-10-11,12,駐車（輪）場,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,豊玉北６丁目,2020-10-06,22,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-03-16,09,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-03-16,13,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-04-28,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-05-05,12,その他,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-09-11,08,その他,駐車（輪）場,その他
窃盗,部品ねらい,練馬,練馬駅前交番,131202,東京都,練馬区,練馬１丁目,2020-10-13,11,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,練馬,桜台交番,131202,東京都,練馬区,桜台５丁目,2020-02-10,21,一戸建住宅,その他,その他
窃盗,部品ねらい,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2020-05-14,14,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,練馬,小竹町交番,131202,東京都,練馬区,小竹町１丁目,2020-12-13,01,道路上,その他,その他
窃盗,部品ねらい,練馬,小竹町交番,131202,東京都,練馬区,小竹町２丁目,2020-09-04,17,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,練馬,氷川台駐在所,131202,東京都,練馬区,氷川台３丁目,2020-12-07,13,その他,駐車（輪）場,その他
窃盗,部品ねらい,練馬,氷川台駐在所,131202,東京都,練馬区,平和台２丁目,2020-05-27,18,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,練馬,春日町交番,131202,東京都,練馬区,春日町４丁目,2020-07-25,09,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2020-06-03,15,道路上,その他,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2020-06-24,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町１丁目,2020-09-05,11,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町２丁目,2020-07-06,18,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町２丁目,2020-08-26,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町３丁目,2020-12-12,17,道路上,その他,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町５丁目,2020-11-23,11,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町７丁目,2020-02-22,06,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町７丁目,2020-11-06,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,その他
窃盗,部品ねらい,石神井,石神井公園駅前交番,131202,東京都,練馬区,石神井町８丁目,2020-01-17,07,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2020-02-03,17,その他,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉１丁目,2020-02-09,13,４階建て以上共同住宅,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉４丁目,2020-02-02,00,駐車（輪）場,駐車（輪）場,その他
窃盗,部品ねらい,石神井,大泉学園駅前交番,131202,東京都,練馬区,東大泉４丁目,2020-10-29,09,道路上,その他,ナンバープレート
窃盗,部品ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,上石神井４丁目,2020-01-10,16,４階建て以上共同住宅,駐車（輪）場,その他
窃盗,部品ねらい,石神井,武蔵関駅前交番,131202,東京都,練馬区,関町北１丁目,2020-11-05,19,駐車（輪）場,駐車（輪）場,ナンバープレート
